title,description,price,location,bedrooms,bathrooms,area,is_published,is_suspicious
Luxury Penthouse,Top floor unit with panoramic city views,950000,lagos,4,3,300.0,True,False 
Studio Apartment,Compact living in city center,75000,abuja,1,1,35.0,True,False
Beachfront Villa,Direct ocean access with private pool,1200000,lagos,5,6,600.0,True,False
Office Building,Prime commercial property downtown,850000,port harcourt,0,4,2000.0,True,False
Student Housing,Walking distance to major universities,25000,ibadan,2,1,60.0,True,False
Shopping Complex,High traffic retail location,750000,lagos,0,6,3000.0,True,False
Ranch House,Spacious property with horse stables,320000,kaduna,4,3,5000.0,True,False
Warehouse Space,Industrial zone with loading docks,280000,ogun,0,2,4000.0,True,False
Luxury Condo,High-end finishes with city views,450000,abuja,3,3,180.0,True,False
Farm Estate,Agricultural land with main house,195000,oyo,2,1,10000.0,True,False
Mountain Villa,Scenic property with private gardens,680000,plateau,5,4,800.0,True,True
Budget Flat,Affordable starter home,45000,kano,2,1,75.0,True,False
Mixed-Use Building,Retail and residential spaces,520000,enugu,6,4,1500.0,True,False
Waterfront Land,Undeveloped beachfront property,380000,cross river,0,0,2000.0,True,False
Corporate Hub,Modern business center,920000,lagos,0,8,2500.0,True,False
Eco Resort,Sustainable living community,850000,ogun,12,10,4000.0,True,False
Guest House,Vacation rental property,150000,calabar,3,2,120.0,True,False
Industrial Complex,Manufacturing facility with offices,780000,abia,0,4,6000.0,True,False
Heritage Home,Restored colonial mansion,550000,lagos,7,5,900.0,True,False
Mini Estate,Compact gated community,420000,abuja,8,6,1200.0,True,False